text,lang
RT @DavidLimbaugh: Don’t both compassion for our fellow human beings and common sense require that we begin to seriously explore ways we ca…,en
@JackPosobiec We’ve allowed communism to infect our economy by letting them in it,en
RT @MW_Unrest: Someone who is good at the economy please help https://t.co/IWyl9eIhcs,en
"RT @RealJamesWoods: ""The real push [against] hydroxychloroquine is the fact that Donald Trump liked it. If Donald Trump said the sun came u…",en
@AHGL__ @HiccupingBoots @GrexieGaming factors. We let those people die and we SEVERELY impact our economy in a nega… https://t.co/BpdUt2qL8d,en
"@ScottAdamsSays Because he may go and infect his mom, dad, grandparents or someone with underlying conditions...We… https://t.co/IdsAP1p4Ro",en
RT @IvankaTrump: Our Nation’s small businesses are the backbone of our economy &amp; we are working hard to get them quick relief thru the #Pay…,en
"@mitchellvii Bill, the @DNC are orchestrating begins the scenes to keep the lockdown going to introduce ballot harv… https://t.co/sxxEiej5La",en
"RT @MattWalshBlog: If we aren’t staying locked away until a vaccine is ready, then won’t the virus come surging back whenever we end the lo…",en
RT @latha_venkatesh: Govt says its prepared for the  9 minute  switch off; power ministry  says grid wont be affected https://t.co/omp1TCGK…,en
RT @MW_Unrest: Someone who is good at the economy please help https://t.co/IWyl9eIhcs,en
"RT @AZScorpion_Tail: Trump ""I know how to keep the economy going strong...I'll make the States BID AGAINST EACH OTHER!""

""Why use a federal…",en
"RT @_atanas_: IMF Warns Coronavirus Will Hurt Global Economy ‘Way Worse’ Than 2008 Financial Crisis 

#GlobalEconomy #FinancialCrisis #Econ…",en
RT @Lowcountry1Girl: WHAT‼️ Fauci Does 360: ‘I’ve looked at all the models. I’ve spent a lot of time on models. They don’t tell you anythin…,en
..destroys the economy. He conflates a pandemic to devastating proportions. He abandons science and fights it with… https://t.co/GUQuG08gul,en
"RT @catturd2: President Trump needs to get rid of Doomsday Fauci. 

None of his predictions ever come true. Not even close.

He doesn't giv…",en
